0,Review,Liked
"अंडर डॉग पर आधारित फिल्मों में ऐसे इमोशन्स की बहुत संभावनाएं होती हैं जो सीधे दिल को छू सके

","The films based on the under-dogs are so many possibilities of such emotions that can touch the heart

",1
"अंतरराष्ट्रीय फिल्मोत्सव में हर किसी की वाहवाही बटोरने और क्रिटिक्स की टॉप रेटिंग हासिल करने के साथ ही अपने नाम अवॉर्ड हासिल कर चुकी है पंजाबी फिल्म 'किस्सा: द टेल ऑफ लोनली गोस्ट'

","International Film Festival with securing every glean some applause and Critics top rating as it has gained its name Award Punjabi film 'story: The Tale of the Lonely Ghost'

",1
"अक्षय कुमार अक्सर असल जिंदगी पर आधारित कहानियों का हिस्सा बनते रहते हैं, पहले वो स्पेशल छब्बीस में अभिनय करते हुए दिखाई दिए

","Akshay Kumar often become part of the stories based on real life, she was a special appearance by acting in twenty-six

",1
"अक्षय कुमार ने एक बार फिर से अपने किरदार के लिए भरसक प्रयास किया है

","Akshay Kumar has once again tried for his role

",1
"अक्षय कुमार बेहतरीन फॉर्म में नजर आए

","Akshay Kumar appeared in ominous form

",1
"अगर बात करें एक्टिंग की तो श्रीदेवी के फैन्स उनके हैरतअंगेज स्टंट्स देखकर हैरान रह जाएंगे

","When it comes to acting, so fans of Sridevi will be amazed at their amazing stunts

",1
"अग्निपथ (1990) का रीमेक सही समय पर रिलीज हुआ है

","Remake of Agneepath (1990) was released at the right time

",1
" आर्टिफिशियल इंटेलिजेंस जार्विस से टोनी की नोक-झोक भी उम्दा है

"," Tony tip of Artificial Intelligence Jarvis-exerts too great

",1
"अच्छा कलाकार वहीं होता है जो छोटे से रोल में भी अपना प्रभाव छोड़ दे और परेश रावल यही करते हैं

","Good artists are there who do the same to give its disposal and Paresh Rawal in the role of small

",1
"अच्छे निर्देशकों का साथ मिलने पर अर्जुन रामपाल का अभिनय निखर कर आता है

","Good directors Arjun comes explodes acting Rampal to meet with the

",1
"अन्नू कपूर ने फिर साबित किया है कि वे कितने बेहतरीन अभिनेता हैं

","Annu Kapoor has proved again that they are so wonderful actor

",1
"अब जब गुंडे बनकर तैयार है, तो इन दोनों के किरदार के चंद पहलू ट्रेन डकैती, सिक्का उछालना आदि के अलावा इनमें से एक दोस्त बाला की इमेज कहीं न कहीं एंग्री यंगमैन की इमेज से प्रभावित लगती है

","Now ready hooligan, in addition to these two characters of some aspect Train Robbery, toss a coin etc. seems to be influenced by a friend's image somewhere angry young man image Bala these

",1
"अब जब बॉक्स ऑफिस पर सलमान-कैट टॉप पर हैं, ऐसे में इन्हें बॉक्स ऑफिस पर साबित करना होगा कि दर्शकों में इस जोड़ी का जबर्दस्त क्रेज है

","Now box at Salman-Kat top office, such must prove to them at the box office that is great coverage of this couple in the audience

",1
"अब जब हमारी फिल्मों का स्टाइल भी बदला है, तो यंग डायरेक्टर कुछ नया और बाकी फिल्मों से अलग करने में लगे है

","Now the style of our films have also changed, so young director is trying to separate from something new and other films

",1
"अब्बास-मस्तान जोड़ी की सबसे बड़ी खासियत है कि वह फिल्म के किसी सीन को उस वक्त तक फाइनल नहीं करते, जब तक वे सौ फीसदी संतुष्ट न हों

","Abbas-Mustan's most important pair that do not final until the time a scene of the film, as long as they are not satisfied hundred percent

",1
"अभय देओल ने एक तेज-तर्रार युवा नेता की संक्षिप्त भूमिका दमदार तरीके से निभाई

","Abhay Deol has played a lot deeper brief appearance as a fiery young leader

",1
"अभिनय के मामले में राजपाल यादव को देखना दिलचस्प रहता है, उनकी कॉमिक टाइमिंग और संवाद सुनकर हंसी जरूर आती है

","In terms of acting Rajpal is interesting to see Yadav, his comic timing and dialogue hearing must laugh

",1
"अभिनय: फिल्म में असल जिंदगी की बॉक्सर रीतिका सिंह ने अच्छा और सराहनीय अभिनय किया है

","Acting: boxer in real life film Ritika Singh acted good and commendable

",1
" आर्य बब्बर ने उनके बेटे के रूप में दर्शकों को हंसाया है

"," Arya Babbar laugh the audience as his son

",1
"अभिनय: फिल्म में सनी लियोन दोहरे अवतार में नजर आई हैं और दोनों को बखूबी निभाया है

","Acting: come watch Sunny Leone dual avatar in the film and represented her both

",1
"अस्सी के दशक में रिलीज हुई फिल्म चोरी मेरा काम में किशोर कुमार का गाया घुंघरू की तरह बंधता ही रहा हूं, उस वक्त जबर्दस्त हिट हुई थी

","Sang Kishore Kumar released film stealing my work in the eighties, I am only binds the bell, then had a big hit

",1
"अस्सी के दशक में सलमान खान को रातोंरात स्टार बनाने वाली राजश्री बैनर की म्यूजिकल लव स्टोरी 'मैंने प्यार किया' ने बॉक्स ऑफिस पर कमाई के नए रेकॉर्ड बनाए

","The Salman Khan loves Musical Love Story of a majesty banners make overnight stars I Eighties' newly created record earnings at the box office

",1
"आपके दिल को छू पाएगी 'मैरी कॉम' की कहानी

","The story of your heart will touch 'Mary Kom'

",1
"आपको निराश नहीं करेगी रानी की मर्दानगी

","You masculinity will not be disappointed Queen

",1
"आयुष्मान खुराना ने पंजाबी मुंडे की भूमिका खूब निभाई है

","Ayushman Khurana played well the role of Punjabi Munde

",1
"आरती बजाज की एडिटिंग, रंजीत बारोट का बैकग्राउंड स्कोर और हेमंत चतुर्वेदी का कैमरावर्क फिल्म को रिच लुक देता है

","Aarti Bajaj's editing, background Ranjit Barot score and Hemant Chaturvedi's camerawork film gives rich look

",1
"इंटरवल के पहले वाला हिस्सा बेहद मजबूत है

","The first part of the interval is extremely strong

",1
"इंटरवल तक फिल्म बेहतरीन है

","Interval to film an

",1
"इंडस्ट्री में आने वाले नए चेहरों की बात की जाए तो इनमें से 95 फीसदी स्टार सन और स्टार डॉटर है

","Regarding new faces coming in the industry have a 95 per cent out Sun and Star Daughter

",1
" इंटरवल के बाद इकतरफा चलती इस लव स्टोरी में राजनीति का पुट अखरता है

"," After the interval unilateral moving the Love Akrta put politics Story

",1
"इन तीनों दोस्तों को कॉलेज छोड़े छह साल से ज्यादा हो चुके हैं, लेकिन अभी इन तीनों को कॉलेज में गुजारे मस्ती भरे दिन याद हैं

","The three friends left the college has more than six years, but now these three spent're in college missed a day

",1
"इन फिल्मों में रणबीर ने साबित किया है कि उनमें हर किरदार को बखूबी निभाने की क्षमता है

","These films Ranbir proved that the ability to play them well every character

",1
"इनसाइड आउट एक मास्टरपीस है

","Inside Out is a masterpiece

",1
"इशान को अपनी बस्ती से सटे एक मुस्लिम बहुल इलाके में रहने वाले अली (दिग्विजय देशमुख) में टैलंट नजर आता है और वह उसे ट्रेंड करने का फैसला करता है

","Ivan comes talent seen in a Muslim Ali (Singh Deshmukh living-dominated area) adjacent to the township and that he decided to Trend

",1
"इस ट्रेक में जबरदस्त स्पेशल इफेक्टस हैं जो थ्री-डी फॉर्मेट में फिल्म देखने वालों को ज्यादा रोमांचित करेंगे

","There are tremendous special effects in this track which will more thrilled watching film in three-dimensional format

",1
"इस फिल्म की डायरेक्टर और राइटर जोड़ी ने फिल्म शुरू करने से पहले कुछ रोमांचक आंकड़े बटोरे, जिन्हें इन्होंने फिल्म की शुरुआत में दर्शकों के साथ शेयर किया

","Director of the film and writer duo garnered some exciting data before starting the film, which he shared with the audience at the beginning of the film

",1
"इस फिल्म की सबसे बड़ी खासियत कंप्यूटर ग्राफिक्स का गजब इस्तेमाल है

","The biggest highlight of the film is used amazing computer graphics

",1
"इस फिल्म के यंग प्रड्यूसर, डायरेक्टर प्रतीक ने अपनी इस फिल्म में अपने ऐक्टिंग के शौक को भी पूरा किया है

","The film's young producer, director symbol has completed his hobby of his acting in this film

",1
"इस फिल्म को देखने के बाद फिल्म मेकिंग से जुड़े हर व्यक्ति के प्रति आपका सम्मान बढ़ जाता है

","The film is the look of the film increases your respect for every person involved in making

",1
"इस बात में दो राय नहीं है कि आनंद एल

","This is not doubt that a few L

",1
" इंटरवल के बाद उदय चोपड़ा और अभिषेक बच्चन के कुछ सीन्स को नजरअंदाज कर दिया जाए तो तीन घंटे की लंबी अवधि वाली इस फिल्म में दर्शकों को स्टार्ट टु फिनिश अपनी सीटों के साथ बांधें रखने का दम है

"," After the interval, Uday Chopra and Abhishek then ignored some Bachchan Scenes three hours long periods start to finish the audience in the film has the potential to keep the tie with their seats

",1
"इस मॉल को रीलॉन्च करने के लिए खान और आदित्य बड़ा इवेंट करते हैं

","The mall on Khan and Aditya big event to relaunch

",1
"इस विजय के बाद हरक्यूलिस को महसूस होता है कि उनका गलत उपयोग किया गया है और यही से फिल्म में नया टर्न देखने को मिलता है  जिसका अंत एक जबरदस्त क्लाइमैक्स के साथ होता है

","The victory since Hercules was felt that using them is wrong and what you get to see a new turn in the film, which ends with a tremendous climax

",1
"इस शुक्रवार रिलीज हुई चार नई फिल्मों की भीड़ में शामिल  देहरादून डायरी ऐसे ज्वलंत मुद्दे पर बनी फिल्म है जिसने इन दिनों पूरे देश को झकझोर रखा है

","Friday release joined the crowd of four new films Dehradun Diaries is a film on a burning issue that has shaken these days all over the country

",1
"इस हफ्ते कल्कि की बेहतरीन अदाकारी के लिए यह फिल्म देखी जा सकती है

","This week, the film's superb acting Kalki can be viewed

",1
"उम्दा सीन की बात निकली है तो ऐसे कई सीन हैं, जिनका उल्लेख किया जा सकता है

","Plush has gone to the scene so there are many scenes, which can be noted

",1
"उस पर हमले होते हैं, लेकिन वह दहशतगर्दों को ठिकाने लगाने के मिशन में जुट जाता है

","There are attacks on him, but he is engaged in a mission to locate the whereabouts of the terrorist

",1
"एक इंटरव्यू में इम्तियाज अली ने कहा था कि हाइवे उनका ऐसा ड्रीम प्रोजेक्ट है जो दिल के बेहद करीब है और इसे बनाने के लिए अगर प्रड्यूसर नहीं भी मिला तो वह इस कहानी पर फिल्म बनाने में अपनी सारी जमा-पूंजी लगाने से भी परहेज नहीं करेंगे

","Said Imtiaz Ali in an interview that the highway was so dream project very close to the heart and to make it if the producer did not he would not mind putting all his savings to make a film on this story

",1
"एक खूबसूरत सपना है

","A beautiful dream

",1
"एक वेंपायर है जिसकी प्रशंसा की जानी चाहिए

","A Vampire, which should be praised

",1
"एक्टिंग : सुनील शेट्टी और राजपाल यादव के बीच की केमिस्ट्री अच्छी है

","Acting: Sunil chemistry between Shetty and Rajpal Yadav is good

",1
" इंटरवल के बाद कहानी की रफ्तार सुस्त पड़ती है, लेकिन आखिरी 10 मिनट की फिल्म का जवाब नहीं

"," Speed ​​of the story after the interval has to slow, but not the answer to the last 10 minutes of the film

",1
"एक्शन डायरेक्टर से निर्देशक बने एजाज गुलाब की यह पहली फिल्म है

","Action-turned-director director Ijaz Rose's debut

",1
"एजेंट विनोद का रोल सैफ अली खान ने बखूबी निभाया है

","Role of Agent Vinod Saif Ali Khan played brilliantly by

",1
"एडिथ सुपरनैचुरल पावर में अपना यकीन रखती हैं

","Edith Supernatural Power holds your sure

",1
"एमा स्टोन, रे इफांस, डेनिस लेरी, सेली फील्ड सहित सारे कलाकारों का अभिनय उम्दा है

","Emma Stone, Ray Ifans, Denis Leary, the fine acting of the entire cast, including Sally Field

",1
"एली अवराम का अभिनय कमजोर है, लेकिन वे अपने रोल के मुताबिक ठीक दिखाई देती हैं

","Acting Elli Avram is weak, but they appear exactly in line with their role

",1
"ऐक्टिंग : अंबर सिंह के किरदार में  इरफान खान अभिनय के शिखर पर नजर आते हैं, इरफान की खामोशी और उसकी बोलती आंखें उनके किरदार को जीवंत बनाते हैं

","Acting: Amber Singh are seen at the peak of acting Irrfan Khan plays, Irfan silence and speaks her eyes their characters make great

",1
"ऐक्टिंग : आकाश के रोल में अध्ययन प्रभावहीन हैं

","Acting: study in the sky roll effect

",1
"ऐक्टिंग : इरफान के किरदार में ऋषि कपूर का गेटअप और उनकी डायलॉग डिलिवरी का जवाब नहीं

","Acting: get up to Rishi Kapoor, Irrfan's character and does not respond to their dialog delivery

",1
"ऐक्टिंग : गणेश आचार्य और मनिदंर सिंह के बीच की केमिस्ट्री कुछ सीन्स में देखते ही बनती है

","Acting: Ganesh chemistry between the teacher and Mnidnr Singh has made only see scenes

",1
"ऐक्टिंग : दीनानाथ के किरदार में  ओम पुरी जरूर कुछ जमे हैं

","Acting: Om Puri plays Dinanath course some frozen

",1
" इंटरवल के बाद बैसाखी के मौके पर फिल्माए गाने का फिल्मांकन बेहतरीन है

"," After the interval shot on crutches opportunity songs of filming site

",1
"ऐक्टिंग : पार्थो गुप्ते ने बेहतरीन और गजब की ऐक्टिंग की है

","Acting: Partho Gupte is acting in the best and amazing

",1
"ऐक्टिंग : प्रियंका के किरदार में अदा शर्मा जमी हैं

","Acting: The Adah Sharma frozen in the role of Priyanka

",1
"ऐक्टिंग : मंदी के दौर में अपनी अच्छी नौकरी खो चुके मोहित के किरदार में आय़ुष्मान ने भी अपने रोल को दमदार ढंग से निभाया है

","Acting in the role of the deluded who lost their jobs in the recession Ayhushman has also played the powerful way to roll

",1
"ऐक्टिंग : माही अरोड़ा के किरदार में करीना ने बेहतरीन ऐक्टिंग की है

","Acting monthly Kareena plays Aurora has an acting

",1
"ऐक्टिंग : मूक-बधिर युवक बर्फी के रोल में  रणबीर कपूर ने अपनी ऐक्टिंग की शानदार छाप छोड़ी है

","Acting: deaf-mute man has made great impression of Ranbir Kapoor his acting in the role of Barfi

",1
"ऐक्टिंग : राजकुमार उर्फ रोमियो के लीड किरदार के लिए यकीनन शाहिद कपूर ने मेहनत की है

","Acting: Prince arguably Shahid for the lead role of Romeo aka Kapoor has worked

",1
"ऐक्टिंग : रानी के कंधों पर टिकी इस फिल्म में रानी ने अपनी ओर से कोई कसर बाकी नहीं छोड़ी

","Acting: The Queen in the film rests on the shoulders of the queen has left no stone unturned on your behalf

",1
"ऐक्टिंग : रॉ एजेंट के रोल में सलमान प्रभावित करते हैं

","Acting: The Salman affect the role of a RAW agent

",1
"ऐक्टिंग : विद्युत के ऐक्शन सीन्स में बिजली की तेजी है

","Acting: The lightning-fast action scenes power

",1
"ऐक्टिंग : साउथ से आए तमिल एक्टर धनुष ने ठेठ बनारसी छोरे के किरदार के लिए जबर्दस्त मेहनत की है

","Acting: from South Tamil actor Dhanush has tremendous work for his portrayal of the typical banarasi smaller

",1
" इंटरवल के बाद वह कई सीन्स में खूब जमे हैं

"," After the interval he was frozen well in many scenes

",1
"ऐक्टिंग : सैफ का लुक और उनका बोलने का अंदाज अच्छा है

","Acting: Saif's look and his best style of speaking

",1
"ऐक्टिंग : हनी और चूचा के किरदारों में पुलकित सम्राट और वरुण शर्मा जब भी स्क्रीन पर नजर आए, हर किसी को हंसा गए

","Acting: Honey and appeared on the screen when Pulkit Samrat and Varun Sharma characters Cucha, the Hansa everyone

",1
"ऐक्टिंग: अपने ठेठ पंजाबी अंदाज के बाद, इस बार अक्षय हरियाणवी लुक में खूब जमे हैं

","Acting After his typical Punjabi style, are frozen well this time renewable Haryanvi look

",1
"ऐक्टिंग: अमिताभ बच्चन ने एक बार फिर साबित किया कि उनके नाम के साथ महानायक क्यों जुड़ा है

","Acting: Amitabh Bachchan has proved once again why megastar connected with his name

",1
"ऐक्टिंग: आमिर खान की बात की जाए तो 'धूम 3' उनकी सर्वश्रेष्ठ फिल्में में से एक कही जाएगी

","Acting: Talking about Aamir Khan's Dhoom 3 'will be called one of his best movies

",1
"ऐक्टिंग: इमरान हाशमी का काम अच्छा है

","Acting: Emraan Hashmi work better

",1
"ऐक्टिंग: इस फिल्म में एक से एक कलाकार हैं

","Acting: An artist in the film

",1
"ऐक्टिंग: कभी चंबलघाटी में आतंक की पहचान रहे  डाकू मान सिंह ने फिल्म में अपने किरदार को खुद निभाया है

","Acting: ever identify terror Chanblgati Robber Man Singh played his own role in the film

",1
"ऐक्टिंग: 'काई पो चे' फिल्म के बाद सुशांत सिंह ने फिर अपने फैंस को निराश नहीं किया है

","Acting: 'Kai Po Che' film after Sushant Singh again did not disappoint his fans

",1
"ऐक्टिंग: क्वीन के बाद कंगना ने एक बार फिर खुद को बेहतर साबित किया है

","Acting after Queen Kangana has once again proved themselves better

",1
" इंटेलिजेंट थ्रिलर देखना चाहते हैं तो यह फिल्म आपके लिए है

"," Want to see intelligent thriller, this movie is for you

",1
"ऐक्टिंग: गांव की सीधी-सादी लड़की के किरदार में श्रुति खूब जमी है

","Acting: Shruti are frozen in the role of simple village girl

",1
"ऐक्टिंग: चौदह साल की लड़की की सोच और उसके अंदाज को रिया ने बेहतरीन ढंग से पेश किया है

","Acting: thinking of fourteen year old girl and her style RIA has been introduced in the best manner

",1
"ऐक्टिंग: ज़ेबी के किरदार में जॉन हैम का जवाब नहीं

","Acting: No answer Jon Hamm plays Jhebi

",1
"ऐक्टिंग: तीन किरदारों पर घूमती इस कहानी के सभी किरदारों ने अपनी बेहतरीन ऐक्टिंग से प्रभावित किया है, लेकिन इशान के किरदार में सुशांत बेहतरीन रहे

","Acting: revolves on three characters, all the characters of this story has affected his best acting, but Sushant unique character of Ishan

",1
"ऐक्टिंग: दंगों को अपने फायदे के लिए कैश करने वाले अखबार मालिक के किरदार में सतीश कौशिक ने अच्छा अभिनय किया है

","Acting: riots have good acting by Satish Kaushik plays the newspaper owner to cash for their own benefit

",1
"ऐक्टिंग: दिल्ली के ठेठ पंजाबी मुंडे के किरदार में सुमित सूरी जरूर प्रभावित करते हैं

","Acting: The Sumit Suri definitely affect the character of a typical Punjabi Munde Delhi

",1
"ऐक्टिंग: नाना पाटेकर के हिस्से में डायलॉग नहीं आए, लेकिन उन्होंने अपनी खामोशी और चेहरे के एक्सप्रेशन के दम पर सैम के किरदार को अच्छे से निभाया है

","Acting: did not dialogue of Nana Patekar, but he played well the role of Sam on the back of your silence and facial expressions

",1
"ऐक्टिंग: नील नितिन मुकेश ने कुछ सीन्स में बेहतरीन काम किया है

","Acting: Neil Nitin Mukesh has done a good job in some scenes

",1
"ऐक्टिंग: फिल्म में मां-बेटे बने पद्मिनी कोल्हापुरे और शाहिद कपूर के बीच बेहतरीन केमिस्ट्री है

","Acting in the film mother and son became Padmini Kolhapure and unique chemistry between Shahid Kapoor

",1
"ऐक्टिंग: भूतनाथ के किरदार में अमिताभ बच्चन लाजवाब रहे हैं

","Acting: Amitabh Bachchan are excellent in the role of Bhoothnath

",1
"  रणदीप हुड्डा का काम लाजवाब है, हालांकि इंटरवल तक रणदीप के चेहरे के एक जैसे एक्सप्रेशन नजर आते हैं

","  Randeep Hooda's work is great, although seen as a expression of Randeep face Interval

",1
" इंडस्ट्री के दो नामी स्टार्स को लेकर बनी इस फिल्म में डायरेक्टर अनूप सिंह ने फिल्म के किसी भी सीन को ओवर बजट नहीं होने दिया

"," Comprising two renowned stars of the industry director Anoop Singh, the film has not any scenes budget over film

",1
"ऐक्टिंग: मंजुनाथ के किरदार में शशो सतीश नाथ की ऐक्टिंग शानदार है

","Acting: Shasho plays Manjunath Satish Nath's acting is superb

",1
"ऐक्टिंग: मिसेज बावेजा के रोल में डॉली आहलूवालिया फिल्म का सबसे सशक्त पक्ष हैं

","Acting: The most powerful aspect of Dolly Ahluwalia film rolls Mrs. Baweja

",1
"ऐक्टिंग: मीता के किरदार में परिणीति चोपड़ा खूब जमी है

","Acting is thereby Chopra are frozen in the role of Mita

",1
"ऐक्टिंग: मुन्ना सुपारी के किरदार में दीपक डोब्रियाल इकलौते ऐसे कलाकार है जो अपनी ऐक्टिंग से प्रभावित करते है

","Acting: tot lamp plays nut Dobriyal is the only artist who is influenced by its acting

",1
"ऐक्टिंग: मैक्स और इलेक्ट्रो के दोनों किरदारों में जेमी फॉक्स खूब जमे हैं

","Acting: Frozen well Jamie Fox in both characters Max and Electro

",1
"ऐक्टिंग: रज्जो के किरदार को निभाकर माधुरी ने साफ कर दिया है कि वह अपनी दूसरी पारी में धक-धक गर्ल की इमेज से बाहर निकलना चाहती हैं

","Acting: Nibakr the role of Rajjo Madhuri made it clear that he wants to get out of the image of the more-more girls in their second innings

",1
"ऐक्टिंग: रज्जो के किरदार में कंगना शुरू से आखिर तक फिल्म में छाई हुई हैं

","Acting in the role of Rajjo has dominated the film by the end of Kangana start

",1
"ऐक्टिंग: राकेश मारिया के किरदार में नाना पाटेकर की गजब ऐक्टिंग इस फिल्म की सबसे बड़ी यूएसपी है

","Acting: Rakesh remarkable Nana Patekar plays Maria acting is the biggest USP of the film

",1
"ऐक्टिंग: रानी के किरदार में कंगना का कोई जवाब नहीं

","Acting: No Answer Kangana plays Queen

",1
"ऐक्टिंग: रानी मुखर्जी, नवाजुद्दीन सिद्दीकी, रणवीर शौरी, नमन जैन, साकिब सलीम, सदाशिव अमरापुरकर, सुधीर पांडे और विनीत कुमार यादव हर किसी ने अपने किरदार को जीवंत बनाने में कोई कसर नहीं छोड़ी

","Acting: Rani Mukherjee, Nawazuddin Siddiqui, Ranvir Shorey, Naman Jain, Saqib Saleem, Sadashiv Amrapurkar, Sudhir Pandey and Vineet Kumar Yadav spared no effort to liven up your character by everyone

",1
" इतना ही नहीं, विकास अपनी इस फिल्म को मुंबई के किसी स्टूडियो में बनाए बनावटी सेट पर शूट नहीं किया, बल्कि फ्रांस और ब्रिटेन की लगभग सवा सौ से ज्यादा लोकेशन पर वह अपनी क्वीन को लेकर पहुंचे

"," Not only that, the development did not shoot to maintain artificially set in a studio of the film in Mumbai, but more than a quarter century of France and UK locations he arrived with his queen

",1
"ऐक्टिंग: राम कपूर छोटे पर्दे के साथ बड़े पर्दे पर भी उतने ही सहज दिखाई दिए हैं

","Acting: Ram Kapoor appeared as much at ease on the big screen with the small screen

",1
"ऐक्टिंग: राम के किरदार में रणवीर सिंह ने अब तक के फिल्मी करियर का बेहतरीन काम किया है

","Acting: Ranbir plays Ram Singh has so far worked best career choice

",1
"ऐक्टिंग: लीड किरदार अमित साहनी के रोल में वीरदास पर्फेक्ट टॉइस हैं

","Acting: Lead role Virdas perfect Tois roll Amit Sahni

",1
"ऐक्टिंग: लीड किरदार में सैफ जमते हैं

","Acting: accumulating Saif in the lead role

",1
"ऐक्टिंग: लीड किरदार विष्णु शर्मा के रोल में जिमी ने अच्छा काम किया है

","Acting: The lead character is well done Jimmy roll Vishnu Sharma

",1
"ऐक्टिंग: विक्रम के किरदार में रणवीर सिंह ने अच्छा काम किया है

","Acting: Ranvir Singh Vikram's character is well done

",1
"ऐक्टिंग: वीरा के किरदार में  आलिया भट्ट का बेहतरीन जीवंत अभिनय आपको हॉल से बाहर आने के बाद भी याद रहेगा

","Acting: Besides great act of Alia Bhatt plays Veera you will remember even after coming out of the hall

",1
"ऐक्टिंग: शायद इस फिल्म को बनाने का एक बड़ा मकसद अध्ययन सुमन के डूबते करियर को बचाना है

","Acting: Maybe a major cause study of the film Suman setting career save

",1
"ऐक्टिंग: संजय मिश्रा, यानी बाबू जी, इस फिल्म की सबसे बड़ी यूएसपी हैं

","Acting: Sanjay Mishra, ie Babuji, the biggest USP of the film

",1
"ऐक्टिंग: साहिब के किरदार में जिम्मी शेरगिल की परफॉर्मेंस का जवाब नहीं

","Acting: No answer performance of Jimmy Shergill plays Sahib

",1
" इधर छोटे-छोटे किरदार करते पेपी कामयाब हीरोइन बन जाती हैं

"," Here are the small role became Pepi managed heroine

",1
"ऐक्टिंग: सोनू के किरदार में नवाजुद्दीन सिद्दीकी प्रभावित करते हैं

","Acting: The Nawazuddin affected Siddiqui plays Sonu

",1
"ऐक्टिंगः डांस अकैडमी चलाने वाले दारूवाला के किरदार में गुलशन ग्रोवर थोड़ा-बहुत प्रभावित करते हैं

","Gulshan Grover plays Aektingः Dance Academy running Daruwalla are little affected

",1
"ऐक्टिंगः सिंघम के बाद एक बार फिर  प्रकाश राज ने अपनी दमदार एक्टिंग से प्रभावित किया है

","Once Aektingः Singham again influenced by his strong acting by Prakash Raj

",1
"ऐसे में बिपाशा और जॉन को लीड रोल में लेकर जिस्म जैसी बेहद बोल्ड और हिट फिल्म बना चुके डायरेक्टर अमित सक्सेना को इस फिल्म को बनाने की कमान सौंपी गई तो फिल्म का क्रेज कहीं ज्यादा बढ़ गया है

","Having made Bipasha and extremely bold and hit like body of the lead role of John in director Amit Saxena has increased coverage more than the film went given the command to make this film

",1
"और शुरू होता है हंसने-हंसाने का सिलसिला

","And begins a series of laugh-laugh

",1
